Inference Type,Total Time (s),Avg Time per Image (s)
base,147.34814310073853,0.162635919537239
hierarchical,133.0996880531311,0.14690914796151336
augmented,140.20905184745789,0.1547561278669513
stacking,138.6961064338684,0.15308621019190774
